company_name,industry,tier,Location-1,Location-2
thinkways software technologies pvt ltd,IT,,,
thought frameworks,IT,,,
tidda games,IT,,,
toppatch security solutions,IT,,,
touchpoint,IT,,,
touchpoint datasciences private limited,IT,,,
touchweb (india) pvt ltd,IT,,,
transitus professional services,IT,,,
tricon infotech,IT,,,
true vision info systems pvt ltd,IT,,,
unisoft infotech,IT,,,
universal system technologies inc,IT,,,
uvaca technologies pvt ltd,IT,,,
v i engineering solutions pvt ltd,IT,,,
value add software solutions,IT,,,
valuesoft solutions p(ltd),IT,,,
varista software pvt ltd,IT,,,
vernasoft consultancy india pvt ltd,IT,,,
vikasglobal solutions ltd,IT,,,
virgosys software pvt ltd,IT,,,
virtual logic systems private limited,IT,,,
vision catalyst software services (i) pvt ltd,IT,,,
volen software services pvt ltd,IT,,,
vtech informatic pvt ltd,IT,,,
vtsk solutions,IT,,,
weberon solutions,IT,,,
webgyor global,IT,,,
webnish software pvt ltd,IT,,,
webrich softwares,IT,,,
wisdomleaf technologies pvt ltd,IT,,,
wolken software,IT,,,
xiphias software technologies pvt ltd,IT,,,
xithi technologies pvt ltd,IT,,,
xyka software pvt ltd,IT,,,
yarago software pvt ltd,IT,,,
ypsilon consulting,IT,,,
zevenseas,IT,,,
zomisys technologies pvt ltd,IT,,,
zues software technologies pvt ltd,IT,,,
talisma corporation pvt ltd ,IT,,,
tally solutions pvt ltd ,IT,,,
tandon information solutions pvt. ltd. ,IT,,,
tarang software technologies pvt ltd ,IT,,,
tata consultancy services ltd ,IT,,,
tata elxsi limited ,IT,,,
tata elxsi ltd. ,IT,,,
tata technologies limited ,IT,,,
tavant technologies india pvt ltd ,IT,,,
tcgivega information technologies pvt ltd ,IT,,,
tcs business transformation solutions ltd (tcs-bts) ,IT,,,
teamlease services pvt ltd ,IT,,,
tech mahindra ltd ,IT,,,
techspan ,IT,,,
techspan india ltd. ,IT,,,
"tekedge 809, ",IT,,
teledna communications pvt ltd ,IT,,,
telelogic india pvt ltd ,IT,,,
texas instruments india ltd. ,IT,,,
texas instruments india pvt. ltd. ,IT,,,
think ahead advisory services pvt ltd ,IT,,,
thinksoft global services (p) ltd ,IT,,,
thirdware solution ltd. ,IT,,,
tholons knowledge management pvt ltd ,IT,,,
thomson corporation (international) pvt ltd ,IT,,,
thoughtworks technologies india pvt ltd ,IT,,,
tibco software india pvt ltd ,IT,,,
timken engineering and research india pvt ltd ,IT,,,
tpi advisory services india pvt ltd ,IT,,,
tqm international pvt ltd ,IT,,,
transfleet global services pvt ltd (tesco india) ,IT,,,
trianz consulting pvt ltd ,IT,,,
tricon infotech pvt. ltd ,IT,,,
trigent software ltd. ,IT,,,
trilogy e-business software india ltd ,IT,,,
trimentus technologies pvt ltd ,IT,,,
trivium icope technologies pvt ltd ,IT,,,
trrs imaging ltd ,IT,,,
trrs imaging ltd ,IT,,,
ttk healthcare services pvt ltd ,IT,,,
u&i scotty computers ltd ,IT,,,
ubics technologies pvt ltd ,IT,,,
ul india pvt ltd ,IT,,,
unisys global services - india (stp division of unisys india pvt ltd) ,IT,,,
universal legal ,IT,,,
usi internetworking services pvt ltd ,IT,,,
utl technologies ltd. ,IT,,,
utopia india pvt ltd ,IT,,,
valtech india technology solutions pvt ltd ,IT,,,
vee technologies pvt ltd ,IT,,,
vinciti networks pvt ltd ,IT,,,
vinpack india pvt. ltd ,IT,,,
viteos capital market services ltd ,IT,,,
vmoksha technologies pvt ltd ,IT,,,
vxl etech ltd ,IT,,,
"wind river systems, Inc ",IT,,
winfoware technologies pvt ltd ,IT,,,
wipro global r&d solutions ,IT,,,
wipro group of companies ,IT,,,
wipro infotech ,IT,,,
wipro technologies (wipro ltd) ,IT,,,
wisdomleaf it technologies pvt ltd ,IT,,,
wyse technology sales & marketing india pvt ltd ,IT,,,
xsysys technologies pvt ltd ,IT,,,
xyka software pvt ltd ,IT,,,
zenith software limited ,IT,,,
"aagna corporate services(p) ltd.,",BPO/KPO,,
abacus techno solutions pvt ltd,BPO/KPO,,,
accelerate infotech,BPO/KPO,,,
adapsys technologies pvt. ltd.,BPO/KPO,,,
adept consulting,BPO/KPO,,,
aenon consultants,BPO/KPO,,,
agilent bpo,BPO/KPO,,,
aldiablos pvt ltd,BPO/KPO,,,
aldos associates,BPO/KPO,,,
alpha global connect pvt ltd,BPO/KPO,,,
altius customer services pvt ltd,BPO/KPO,,,
amab india,BPO/KPO,,,
amaran & company,BPO/KPO,,,
amvin systems(p) ltd,BPO/KPO,,,
anthem consulting pvt ltd,BPO/KPO,,,
anther,BPO/KPO,,,
apex management consultants,BPO/KPO,,,
arjun infoserv & e-services,BPO/KPO,,,
ascent training & consultancy,BPO/KPO,,,
atcis technology pvt ltd,BPO/KPO,,,
athena hr services,BPO/KPO,,,
aum sai bpo & business solutions,BPO/KPO,,,
auroshri hr services private limited,BPO/KPO,,,
avazon bpo,BPO/KPO,,,
avidus smpl,BPO/KPO,,,
axe bpo services,BPO/KPO,,,
axiom bpm services pvt ltd,BPO/KPO,,,
azimut design,BPO/KPO,,,
basil communications (p) limited,BPO/KPO,,,
bezalel infotech pvt ltd,BPO/KPO,,,
bpojobs online,BPO/KPO,,,
brainsource management consultants,BPO/KPO,,,
bridge placement,BPO/KPO,,,
bungay international,BPO/KPO,,,
c-dreamz consultancy services (p) ltd,BPO/KPO,,,
calendula technosoft pvt ltd,BPO/KPO,,,
caliberpoint,BPO/KPO,,,
calscal systems pvt ltd,BPO/KPO,,,
capricorn hr consultancy,BPO/KPO,,,
career marshal,BPO/KPO,,,
career tangent,BPO/KPO,,,
chitransh technologies,BPO/KPO,,,
cira services,BPO/KPO,,,
cityland technologies pvt ltd,BPO/KPO,,,
clan consulting pvt ltd,BPO/KPO,,,
cmc manpower consultants,BPO/KPO,,,
computer links,BPO/KPO,,,
concierge software solutions pvt ltd,BPO/KPO,,,
conduite endeavor infosoft pvt ltd.,BPO/KPO,,,
conexus netcom solutions pvt ltd,BPO/KPO,,,
contact 360,BPO/KPO,,,
contact bridge ites pvt ltd,BPO/KPO,,,
corpone,BPO/KPO,,,
cosmic global limited,BPO/KPO,,,
cr consultancy,BPO/KPO,,,
craaze bpo services international,BPO/KPO,,,
crosslinkz informatics pvt ltd,BPO/KPO,,,
cybertrendz it services,BPO/KPO,,,
daemon technologies,BPO/KPO,,,
darts it networks pvt ltd,BPO/KPO,,,
data infovision,BPO/KPO,,,
data management systems pvt ltd,BPO/KPO,,,
data max,BPO/KPO,,,
delsat technologies,BPO/KPO,,,
desicrew solutions pvt ltd,BPO/KPO,,,
development logics solutions pvt. ltd.,BPO/KPO,,,
dextsys communications,BPO/KPO,,,
diginet info systems,BPO/KPO,,,
ditech process solutions,BPO/KPO,,,
dss technologies,BPO/KPO,,,
effort bpo ltd,BPO/KPO,,,
eivor technologies,BPO/KPO,,,
el camino micro electronics pvt ltd,BPO/KPO,,,
emacct consulting pvt ltd,BPO/KPO,,,
enskay it & telecom services,BPO/KPO,,,
ensomerge,BPO/KPO,,,
etech,BPO/KPO,,,
evolution corporate solutions,BPO/KPO,,,
excel callnet pvt ltd,BPO/KPO,,,
flexus soft services,BPO/KPO,,,
flyingeyes,BPO/KPO,,,
fortune knowledge solutionz (i) pvt ltd,BPO/KPO,,,
fostra technologies,BPO/KPO,,,
fusion consultants,BPO/KPO,,,
galactica,BPO/KPO,,,
galaxy bpm,BPO/KPO,,,
gandhi infotech pvt ltd,BPO/KPO,,,
gcmspl,BPO/KPO,,,
genesis,BPO/KPO,,,
green channel logistics centre,BPO/KPO,,,
