query,name,website,overallRating,industry,numberOfRatings
global data,GlobalData,www.globaldata.com,2.6,Consulting,104
hdfc bank,HDFC Bank,www.hdfcbank.com,3.1,Banks & Credit Unions,664
hp,Hewlett-Packard,www.hp.com,3.3,Computer Hardware & Software,13529
hsbc,HSBC Holdings,www.hsbc.com,3.3,Banks & Credit Unions,3725
ibm,IBM,www.ibm.com,3.2,Consulting,16813
icici bank,ICICI Bank,www.icicibank.com,3.1,Banks & Credit Unions,1103
icici securities,ICICI Securities,www.icicisecurities.com,3.3,Brokerage Services,92
icon,ICON,www.iconplc.com,2.7,Research & Development,312
idea,i.d.e.a.,www.theideabrand.com,2.0,Advertising & Marketing,1
indegene,Indegene,www.indegene.com,4.0,Health Care Services & Hospitals,77
infosys,Infosys,www.infosys.com,3.4,IT Services,12733
ipsos,Ipsos,www.ipsos.com,3.1,Advertising & Marketing,499
jpmorgan chase,J.P. Morgan,www.jpmorganchase.com,3.5,Investment Banking & Asset Management,7139
latentview analytics,LatentView Analytics,www.latentview.com,3.6,Consulting,75
morgan stanley,Morgan Stanley,www.morganstanley.com,3.6,Investment Banking & Asset Management,2666
marketics-(now wns),West Nairobi School,www.westnairobischool.org,2.0,K-12 Education,1
microsoft,Microsoft,www.microsoft.com,3.8,Computer Hardware & Software,11687
modelytics,Modelytics,www.modelytics.com/integrated/index.htm,2.0,Consulting,3
mu-sigma,Mu Sigma,www.mu-sigma.com,3.4,Consulting,929
nielsen,Nielsen,www.nielsen.com,3.5,Advertising & Marketing,1858
nokia networks,Nokia,www.nokia.com,3.6,Telecommunications Manufacturing,3387
novartis inc,NOVARTIS SERVICES,www.novartis.com,2.0,,1
pharmarc analytic solution.,PharmARC Analytic Solutions,www.pharmarc.com,2.0,Advertising & Marketing,6
prudential,Prudential,www.prudential.com,3.5,Insurance Carriers,1037
quattro,quattro,www.quattrogmbh.de,2.0,,0
rbs,Royal Bank of Scotland,www.rbs.com,3.2,Banks & Credit Unions,1285
rci,RCI,www.rci.com,3.5,Advertising & Marketing,73
rmsi,RMSI,www.rmsi.com,3.0,Computer Hardware & Software,35
rsg media systems,RSG Media Systems,www.rsgmedia.com,3.3,,19
scope international,Scope International,www.scopeinternational.com,3.2,Investment Banking & Asset Management,219
standard chartered bank,Standard Chartered Bank,www.standardchartered.com,3.3,Investment Banking & Asset Management,959
swiss re,Swiss Re,www.swissre.com,3.8,Insurance Agencies & Brokerages,289
symphony services,Symphony Financial Services,www.symphony-financial.com,2.0,Investment Banking & Asset Management,4
